IATA,ICAO,Name,Country,City
AAA,NTGA,Anaa Airport,French Polynesia,"Anaa, Tuamotus"
AAB,YARY,Arrabury Airport,Australia,"Arrabury, Queensland"
AAC,HEAR,El Arish International Airport,Egypt,El Arish
AAD,HAAB,Adado Airport,Somalia,"Adado (Cadaado), Galguduud"
AAE,DABB,Rabah Bitat Airport (Les Salines Airport),Algeria,Annaba
AAF,KAAF,Apalachicola Regional Airport,United States,"Apalachicola, Florida"
AAG,SSYA,Arapoti Airport,Brazil,"Arapoti, Paraná"
AAH,EDKA,Merzbrück Airport,Germany,"Aachen, North Rhine-Westphalia"
AAI,SWRA,Arraias Airport,Brazil,"Arraias, Tocantins"
AAJ,SMCA,Cayana Airstrip,Suriname,Awaradam
AAK,NGUK,Aranuka Airport,Kiribati,Aranuka
AAL,EKYT,Aalborg Airport,Denmark,Aalborg
AAM,FAMD,Mala Mala Airport,South Africa,Mala Mala
AAN,OMAL,Al Ain International Airport,United Arab Emirates,Al Ain
AAO,SVAN,Anaco Airport,Venezuela,Anaco
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,Indonesia,"Samarinda, East Kalimantan"
AAQ,URKA,Anapa Airport,Russia,"Anapa, Krasnodar Krai"
AAR,EKAH,Aarhus Airport,Denmark,Aarhus
AAS,DAAS,Apalapsili Airport,Indonesia,Apalapsili
AAT,ZWAT,Altay Airport,China,"Altay, Xinjiang"
AAU,NSAU,Asau Airport,Samoa,"Asau, Savai'i Island"
AAV,RPMA,Allah Valley Airport,Philippines,Surallah
AAX,SBAX,Araxá Airport,Brazil,"Araxá, Minas Gerais"
AAY,OYGD,Al Ghaydah Airport,Yemen,Al Ghaydah
AAZ,MGQZ,Quetzaltenango Airport,Guatemala,Quetzaltenango
ABA,UNAA,Abakan International Airport,Russia,"Abakan, Republic of Khakassia"
ABB,DNAS,Asaba International Airport,Nigeria,Asaba
ABC,LEAB,Albacete Airport,Spain,"Albacete, Castilla-La Mancha"
ABD,OIAA,Abadan International Airport,Iran,Abadan
ABE,KABE,Lehigh Valley International Airport,United States,"Allentown, Pennsylvania"
ABF,NGAB,Abaiang Atoll Airport,Kiribati,Abaiang
ABG,YABI,Abingdon Airport,Australia,"Abingdon, Queensland"
ABH,YAPH,Alpha Airport,Australia,"Alpha, Queensland"
ABI,KABI,Abilene Regional Airport,United States,"Abilene, Texas"
ABJ,DIAP,Port Bouet Airport (Felix Houphouet Boigny Int'l),Côte d'Ivoire,Abidjan
ABK,HAKD,Kabri Dar Airport,Ethiopia,Kebri Dahar
ABL,PAFM,Ambler Airport ,United States,"Ambler, Alaska"
ABM,YNPE,Northern Peninsula Airport,Australia,"Bamaga, Queensland"
ABN,SMBN,Albina Airstrip,Suriname,Albina
ABO,DIAO,Aboisso Airport,Côte d'Ivoire,Aboisso
ABP,,Atkamba Airport,Papua New Guinea,Atkamba
ABQ,KABQ,Albuquerque International Sunport,United States,"Albuquerque, New Mexico"
ABR,KABR,Aberdeen Regional Airport,United States,"Aberdeen, South Dakota"
ABS,HEBL,Abu Simbel Airport,Egypt,Abu Simbel
ABT,OEBA,Al-Baha Domestic Airport,Saudi Arabia,Al Bahah
ABU,WATA,Haliwen Airport,Indonesia,Atambua
ABV,DNAA,Nnamdi Azikiwe International Airport,Nigeria,Abuja
ABW,,Abau Airport,Papua New Guinea,Abau
ABX,YMAY,Albury Airport,Australia,"Albury, New South Wales"
ABY,KABY,Southwest Georgia Regional Airport,United States,"Albany, Georgia"
ABZ,EGPD,Aberdeen Airport,United Kingdom,"Aberdeen, Scotland"
ACA,MMAA,General Juan N. Álvarez International Airport,Mexico,"Acapulco, Guerrero"
ACB,KACB,Antrim County Airport,United States,"Bellaire, Michigan"
ACC,DGAA,Kotoka International Airport,Ghana,Accra
ACD,SKAD,Alcides Fernández Airport,Colombia,Acandí
ACE,GCRR,Lanzarote Airport,Spain,"Lanzarote, Canary Islands"
ACH,LSZR,St. Gallen–Altenrhein Airport,Switzerland,Altenrhein
ACI,EGJA,Alderney Airport,United Kingdom,"Alderney, Channel Islands"
ACJ,VCCA,Anuradhapura Airport,Sri Lanka,Anuradhapura
ACK,KACK,Nantucket Memorial Airport,United States,"Nantucket, Massachusetts"
ACL,,Aguaclara Airport,Colombia,Aguaclara
ACM,,Arica Airport,Colombia,Arica
ACN,MMCC,Ciudad Acuña International Airport,Mexico,"Ciudad Acuña, Coahuila"
ACP,OITM,Sahand Airport,Iran,Maragheh
ACR,SKAC,Araracuara Airport,Colombia,Araracuara
ACS,UNKS,Achinsk Airport,Russia,"Achinsk, Krasnoyarsk Krai"
ACT,KACT,Waco Regional Airport,United States,"Waco, Texas"
ACU,,Achutupo Airport,Panama,Achutupo
ACV,KACV,Arcata-Eureka Airport,United States,"Eureka / Arcata, California"
ACX,ZUYI,Xingyi Wanfenglin Airport,China,"Xingyi, Guizhou"
ACY,KACY,Atlantic City International Airport,United States,"Atlantic City, New Jersey"
ACZ,OIZB,Zabol Airport,Iran,Zabol
ADA,LTAF,Adana Şakirpaşa Airport,Turkey,Adana
ADB,LTBJ,Adnan Menderes Airport,Turkey,İzmir
ADC,AYAN,Andakombe Airport,Papua New Guinea,Andakombe
ADD,HAAB,Bole International Airport,Ethiopia,Addis Ababa
ADE,OYAA,Aden International Airport,Yemen,Aden
ADF,LTCP,Adıyaman Airport,Turkey,Adıyaman
ADG,KADG,Lenawee County Airport,United States,"Adrian, Michigan"
ADH,UEEA,Aldan Airport,Russia,"Aldan, Yakutia"
ADI,FYAR,Arandis Airport,Namibia,Arandis
ADJ,OJAM,Amman Civil Airport (Marka International Airport),Jordan,Amman
ADK,PADK,Adak Airport,United States,"Adak Island, Alaska"
ADL,YPAD,Adelaide Airport,Australia,"Adelaide, South Australia"
ADM,KADM,Ardmore Municipal Airport,United States,"Ardmore, Oklahoma"
ADN,SKAN,Andes Airport,Colombia,Andes
ADO,YAMK,Andamooka Airport,Australia,"Andamooka, South Australia"
ADP,VCCG,Ampara Airport,Sri Lanka,Ampara
ADQ,PADQ,Kodiak Airport,United States,"Kodiak, Alaska"
ADR,KPHH,Robert F. Swinnie Airport ,United States,"Andrews, South Carolina"
ADS,KADS,Addison Airport,United States,"Dallas, Texas"
ADT,KADH,Ada Municipal Airport ,United States,"Ada, Oklahoma"
ADU,OITL,Ardabil Airport,Iran,Ardabil
ADV,,Ed Daein Airport,Sudan,Ed Daein
ADW,KADW,Andrews Field (Andrews Air Force Base),United States,"Camp Springs, Maryland"
ADX,EGQL,RAF Leuchars,United Kingdom,"St Andrews, Scotland"
ADY,FAAL,Alldays Airport,South Africa,Alldays
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,Colombia,San Andres Island
AEA,NGTB,Abemama Atoll Airport,Kiribati,Abemama Atoll
AEB,ZGBS,Baise Bama Airport,China,"Baise, Guangxi"
AEE,,Adareil Airport,South Sudan,Adareil
AEG,WIME,Aek Godang Airport,Indonesia,Padang Sidempuan
AEH,FTTC,Abéché Airport,Chad,Abéché
AEK,AYAX,Aseki Airport,Papua New Guinea,Aseki
AEL,KAEL,Albert Lea Municipal Airport,United States,"Albert Lea, Minnesota"
AEM,UHTG,Amgu Airport,Russia,"Amgu, Primorsky Krai"
AEO,GQNA,Aioun el Atrouss Airport,Mauritania,Aioun el Atrouss
AEP,SABE,Jorge Newbery Airpark,Argentina,Buenos Aires
AEQ,,Ar Horqin Airport,China,Ar Horqin Banner
AER,URSS,Sochi International Airport,Russia,"Sochi, Krasnodar Krai"
AES,ENAL,"Ålesund Airport, Vigra",Norway,Ålesund
AET,PFAL,Allakaket Airport ,United States,"Allakaket, Alaska"
AEU,OIBA,Abu Musa Airport,Iran,Abu Musa Island
AEX,KAEX,Alexandria International Airport,United States,"Alexandria, Louisiana"
AEY,BIAR,Akureyri Airport,Iceland,Akureyri
AFA,SAMR,San Rafael Airport,Argentina,"San Rafael, Mendoza"
AFD,FAPA,Port Alfred Airport,South Africa,Port Alfred
AFF,KAFF,United States Air Force Academy Airfield,United States,"Colorado Springs, Colorado"
AFI,SKAM,Amalfi Airport,Colombia,Amalfi
AFK,,Kondavattavan Tank Seaplane Base,Sri Lanka,Ampara
AFL,SBAT,Alta Floresta Airport,Brazil,"Alta Floresta, Mato Grosso"
AFN,KAFN,Jaffrey Airport–Silver Ranch,United States,"Jaffrey, New Hampshire"
AFO,KAFO,Afton Municipal Airport,United States,"Afton, Wyoming"
AFR,AYAF,Afore Airport,Papua New Guinea,Afore
AFS,UTSN,Zarafshan Airport,Uzbekistan,Zarafshan
AFT,AGAF,Afutara Airport,Solomon Islands,"Afutara, Malaita"
AFW,KAFW,Fort Worth Alliance Airport,United States,"Fort Worth, Texas"
AFY,LTAH,Afyon Airport,Turkey,Afyon
AFZ,OIMS,Sabzevar Airport,Iran,Sabzevar
AGA,GMAD,Agadir–Al Massira Airport,Morocco,Agadir
AGB,EDMA,Augsburg Airport,Germany,"Augsburg, Bavaria"
AGC,KAGC,Allegheny County Airport,United States,"Pittsburgh, Pennsylvania"
AGD,WASG,Anggi Airport,Indonesia,Anggi
AGE,EDWG,Wangerooge Airfield,Germany,"Wangerooge, Lower Saxony"
AGF,LFBA,Agen La Garenne Airport,France,"Agen, Aquitaine"
AGG,,Angoram Airport,Papua New Guinea,Angoram
AGH,ESTA,Ängelholm–Helsingborg Airport (former ICAO: ESDB),Sweden,Ängelholm
AGI,SMWA,Wageningen Airstrip,Suriname,Wageningen
AGJ,RORA,Aguni Airport,Japan,"Aguni, Okinawa"
AGK,,Kagua Airport,Papua New Guinea,Kagua
AGL,AYWG,Wanigela Airport,Papua New Guinea,Wanigela
AGN,PAGN,Angoon Seaplane Base,United States,"Angoon, Alaska"
AGO,KAGO,Magnolia Municipal Airport,United States,"Magnolia, Arkansas"
